Q,fullA,fullB,nltkA,nltkB,spacyA,spacyB,topic
1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1
3,1,4,1,4,1,2,1
4,1,11,1,11,1,2,1
5,3,11,1,5,1,2,1
6,11,11,11,11,11,11,1
7,1,11,1,11,1,2,1
1,1,11,1,11,1,11,2
2,1,11,1,11,1,11,2
3,1,11,1,11,1,11,2
4,1,11,1,11,1,11,2
5,1,11,1,11,1,11,2
6,11,11,11,11,3,11,2
7,11,11,1,11,1,11,2
1,0,1,0,1,0,1,3
2,0,1,0,1,0,1,3
3,0,1,0,1,0,1,3
4,0,11,0,11,0,1,3
5,0,11,0,11,0,1,3
6,0,11,0,11,0,11,3
7,0,11,0,1,0,1,3
1,1,0,1,0,1,0,4
2,1,0,1,0,1,0,4
3,1,0,1,0,1,0,4
4,1,0,1,0,1,0,4
5,1,0,1,0,1,0,4
6,11,0,11,0,8,0,4
7,1,0,2,0,1,0,4
1,1,0,1,0,1,0,5
2,1,0,1,0,1,0,5
3,1,0,2,0,1,0,5
4,1,0,1,0,1,0,5
5,1,0,1,0,1,0,5
6,11,0,2,0,11,0,5
7,2,0,1,0,1,0,5
1,1,0,1,0,1,0,6
2,1,0,1,0,1,0,6
3,1,0,1,0,1,0,6
4,1,0,1,0,1,0,6
5,1,0,1,0,1,0,6
6,11,0,11,0,11,0,6
7,3,0,1,0,1,0,6
1,1,11,1,11,1,11,7
2,1,11,1,11,1,11,7
3,1,11,1,11,1,11,7
4,1,11,1,11,1,11,7
5,1,11,2,11,1,11,7
6,11,11,11,11,7,11,7
7,11,11,5,11,1,11,7
1,1,11,1,11,11,11,8
2,1,11,1,11,11,11,8
3,1,11,1,11,1,11,8
4,1,11,2,11,1,11,8
5,4,11,3,11,11,11,8
6,2,11,2,11,11,11,8
7,11,11,11,11,1,11,8
